iter	Passed	Remaining
699	4810	2061
700	4817	2054
701	4823	2047
702	4829	2040
703	4835	2033
704	4842	2026
705	4850	2019
706	4856	2012
707	4864	2006
708	4870	1998
709	4876	1992
710	4883	1985
711	4890	1978
712	4897	1971
713	4904	1964
714	4913	1958
715	4923	1952
716	4932	1946
717	4942	1941
718	4949	1934
719	4954	1926
720	4961	1920
721	4970	1913
722	4978	1907
723	4985	1900
724	4991	1893
725	4998	1886
726	5003	1879
727	5009	1871
728	5016	1864
729	5021	1857
730	5027	1850
731	5033	1842
732	5039	1835
733	5045	1828
734	5052	1821
735	5058	1814
736	5067	1808
737	5073	1801
738	5080	1794
739	5085	1786
740	5091	1779
741	5098	1772
742	5104	1765
743	5109	1758
744	5117	1751
745	5123	1744
746	5130	1737
747	5136	1730
748	5142	1723
749	5149	1716
750	5154	1709
751	5161	1702
752	5167	1694
753	5173	1687
754	5179	1680
755	5185	1673
756	5191	1666
757	5197	1659
758	5204	1652
759	5209	1644
760	5215	1637
761	5221	1630
762	5227	1623
763	5233	1616
764	5238	1609
765	5245	1602
766	5250	1595
767	5256	1587
768	5262	1580
769	5268	1573
770	5274	1566
771	5280	1559
772	5286	1552
773	5292	1545
774	5298	1538
775	5304	1531
776	5310	1524
777	5315	1516
778	5321	1509
779	5327	1502
780	5333	1495
781	5339	1488
782	5345	1481
783	5350	1474
784	5356	1467
785	5362	1460
786	5370	1453
787	5378	1446
788	5394	1442
789	5400	1435
790	5406	1428
791	5412	1421
792	5418	1414
793	5424	1407
794	5430	1400
795	5436	1393
796	5443	1386
797	5450	1379
798	5459	1373
799	5465	1366
800	5471	1359
801	5477	1352
802	5483	1345
803	5489	1338
804	5495	1331
805	5501	1324
806	5507	1317
807	5513	1310
808	5518	1302
809	5525	1296
810	5533	1289
811	5539	1282
812	5545	1275
813	5551	1268
814	5556	1261
815	5562	1254
816	5568	1247
817	5575	1240
818	5585	1234
819	5594	1228
820	5602	1221
821	5609	1214
822	5615	1207
823	5622	1200
824	5628	1193
825	5634	1186
826	5640	1180
827	5649	1173
828	5656	1166
829	5661	1159
830	5667	1152
831	5674	1145
832	5681	1138
833	5687	1132
834	5694	1125
835	5699	1118
836	5706	1111
837	5711	1104
838	5717	1097
839	5724	1090
840	5730	1083
841	5736	1076
842	5743	1069
843	5749	1062
844	5756	1055
845	5762	1048
846	5768	1042
847	5775	1035
848	5781	1028
849	5788	1021
850	5794	1014
851	5801	1007
852	5812	1001
853	5821	995
854	5827	988
855	5833	981
856	5841	974
857	5848	967
858	5855	961
859	5861	954
860	5868	947
861	5875	940
862	5882	933
863	5889	927
864	5895	920
865	5901	913
866	5908	906
867	5914	899
868	5920	892
869	5926	885
870	5932	878
871	5939	871
872	5945	864
873	5952	858
874	5957	851
875	5963	844
876	5970	837
877	5976	830
878	5982	823
879	5989	816
880	5995	809
881	6000	802
882	6006	795
883	6012	788
884	6018	782
885	6025	775
886	6030	768
887	6037	761
888	6043	754
889	6049	747
890	6055	740
891	6061	733
892	6067	726
893	6074	720
894	6080	713
895	6087	706
896	6093	699
897	6100	692
898	6107	686
899	6113	679
900	6119	672
901	6126	665
902	6131	658
903	6139	651
904	6145	645
905	6152	638
906	6157	631
907	6163	624
908	6174	618
909	6180	611
910	6188	604
911	6194	597
912	6200	590
913	6206	583
914	6212	577
915	6220	570
916	6226	563
917	6231	556
918	6237	549
919	6243	542
920	6249	536
921	6256	529
922	6262	522
923	6268	515
924	6275	508
925	6281	501
926	6287	495
927	6293	488
928	6300	481
929	6305	474
930	6310	467
931	6317	460
932	6322	454
933	6328	447
934	6334	440
935	6339	433
936	6345	426
937	6351	419
938	6357	413
939	6366	406
940	6373	399
941	6380	392
942	6387	386
943	6392	379
944	6399	372
945	6405	365
946	6410	358
947	6417	352
948	6423	345
949	6428	338
